rut,vehículo,tipo_licencia
80640357-1,98,moto
62196038-5,91,moto
93285177-6,24,moto
14885951-5,63,moto
95435510-1,8,moto
69251591-9,50,no es necesaria
43538788-8,23,vehiculo de carga
90007582-0,103,auto
72157153-k,64,auto
63214464-4,58,auto
66658505-4,24,moto
76362168-5,11,moto
66714421-3,14,auto
66714421-3,12,auto
71389826-0,114,auto
81955785-3,5,auto
70851011-4,43,auto
44770429-3,108,no es necesaria
70841109-4,22,no es necesaria
78156640-3,93,auto
45385992-4,64,auto
69822376-6,77,auto
91888493-9,47,no es necesaria
70368495-5,108,no es necesaria
60574488-5,70,vehiculo de carga
78413522-5,47,no es necesaria
47591540-2,20,vehiculo de carga
80588097-k,93,auto
46531952-6,36,auto
67629255-1,99,auto
53234460-3,39,auto
94123958-7,64,auto
86367440-9,88,auto
16836029-0,31,auto
25198755-6,81,auto
70841109-4,82,no es necesaria
22412109-1,105,auto
57041868-8,9,moto
44604413-3,74,no es necesaria
29877385-6,17,vehiculo de carga
41775238-2,105,auto
53234460-3,58,auto
58000701-5,7,auto
27626683-7,21,no es necesaria
79348268-k,12,auto
83469143-4,1,moto
93285177-6,5,auto
49641463-2,7,auto
93840785-1,62,no es necesaria
14197251-0,111,moto
22169359-0,18,auto
10254486-2,35,no es necesaria
76362168-5,54,vehiculo de carga
33802463-0,80,moto
68035652-1,22,no es necesaria
57133149-7,101,auto
81881771-1,29,no es necesaria
90594532-7,23,vehiculo de carga
42113348-4,60,no es necesaria
74361473-9,37,moto
66295586-8,86,vehiculo de carga
99463426-7,28,auto
53456223-3,24,moto
38470405-0,68,vehiculo de carga
70733075-9,9,moto
73178495-7,26,vehiculo de carga
40161573-3,25,auto
99302343-4,61,moto
77191435-7,8,moto
43538788-8,27,moto
73290473-5,79,moto
15373219-1,14,auto
43329730-k,114,auto
55012555-2,4,auto
35656775-7,23,vehiculo de carga
71518049-9,55,auto
94864113-5,32,auto
82833215-5,37,moto
45385992-4,27,moto
21823347-3,69,moto
25750021-7,89,moto
79974368-k,115,vehiculo de carga
42494071-2,22,no es necesaria
79758989-6,67,no es necesaria
59051717-8,79,moto
97404549-4,69,moto
66540267-3,47,no es necesaria
56405384-8,26,vehiculo de carga
75397524-1,83,vehiculo de carga
59495529-3,85,auto
25750021-7,13,auto
85516291-1,38,auto
62034785-k,15,moto
41234355-7,44,no es necesaria
92946711-6,74,no es necesaria
37780063-k,47,no es necesaria
66866166-1,17,vehiculo de carga
58366562-5,49,vehiculo de carga
69167855-5,104,no es necesaria
33199896-6,81,auto
44100123-1,37,moto
12673702-5,17,vehiculo de carga
79861684-6,101,auto
32750103-8,63,moto
82903113-2,102,auto
28060713-4,59,auto
21878618-9,66,auto
26541300-5,29,no es necesaria
69251591-9,8,moto
30224213-5,0,auto
79922398-8,78,moto
80640357-1,70,vehiculo de carga
48996426-0,57,auto
23625905-6,16,no es necesaria
14377401-5,88,auto
24655915-5,1,moto
84729190-7,52,auto
28673876-1,12,auto
73557956-8,46,auto
86367440-9,114,auto
35480818-8,30,no es necesaria
20820475-0,44,no es necesaria
22937366-8,46,auto
51193594-6,10,moto
41266992-4,87,auto
46930527-9,99,auto
79861684-6,16,no es necesaria
26541300-5,32,auto
22545748-4,17,vehiculo de carga
90730270-9,0,auto
62425949-1,21,no es necesaria
57728317-6,109,auto
79758989-6,85,auto
89793517-1,67,no es necesaria
81559564-5,20,vehiculo de carga
38100857-6,28,auto
25198755-6,22,no es necesaria
32750103-8,39,auto
41071374-8,48,moto
73178495-7,19,auto
82270937-0,90,auto
93285177-6,116,auto
79922398-8,90,auto
64043694-8,88,auto
10537138-1,104,no es necesaria
21672114-4,41,auto
50536630-1,55,auto
96217495-7,27,moto
84621982-k,28,auto
82903113-2,81,auto
57133149-7,38,auto
34048567-k,85,auto
14002078-8,46,auto
42162871-8,98,moto
40236352-5,13,auto
30224213-5,31,auto
62196038-5,83,vehiculo de carga
45026733-3,40,auto
85594953-9,6,no es necesaria
15795964-6,47,no es necesaria
32219010-7,69,moto
26635765-6,70,vehiculo de carga
92946711-6,46,auto
53331281-0,34,no es necesaria
78918085-7,64,auto
44290962-8,18,auto
46787382-2,20,vehiculo de carga
20467855-3,102,auto
14377401-5,87,auto
82270937-0,100,auto
69265725-k,97,moto
59444986-k,109,auto
29557986-2,103,auto
22587614-2,74,no es necesaria
13592940-9,33,auto
21630671-6,46,auto
42868972-0,61,moto
23686910-5,1,moto
83123905-0,100,auto
85884715-k,55,auto
42113348-4,111,moto
66714421-3,100,auto
30224213-5,86,vehiculo de carga
53383454-k,55,auto
10339840-1,80,moto
97538963-4,32,auto
80558312-6,114,auto
41659296-9,57,auto
30224213-5,70,vehiculo de carga
73178495-7,41,auto
40597717-6,80,moto
29295221-k,20,vehiculo de carga
50511840-5,104,no es necesaria
36205098-7,72,moto
34039148-9,75,auto
53038300-8,2,auto
12460058-8,97,moto
67753422-2,31,auto
96828461-4,64,auto
71962392-1,59,auto
71518049-9,91,moto
11077126-6,100,auto
60020954-k,9,moto
14200344-9,110,auto
46531952-6,65,vehiculo de carga
45624249-9,35,no es necesaria
37184049-4,93,auto
80228379-2,0,auto
79543386-4,50,no es necesaria
67609462-8,26,vehiculo de carga
80640357-1,102,auto
79344858-9,71,auto
25002692-7,54,vehiculo de carga
56474633-9,83,vehiculo de carga
66169613-3,69,moto
59854747-5,12,auto
69767927-8,64,auto
83118985-1,108,no es necesaria
24796080-5,108,no es necesaria
81403585-9,55,auto
43538788-8,108,no es necesaria
84911278-3,58,auto
41325900-2,19,auto
43538788-8,32,auto
30991735-9,19,auto
15286948-7,0,auto
60574488-5,56,auto
48459253-5,59,auto
36205098-7,16,no es necesaria
57728317-6,30,no es necesaria
52698782-9,55,auto
25198755-6,16,no es necesaria
89751595-4,66,auto
59051717-8,108,no es necesaria
30680313-1,104,no es necesaria
95514882-7,100,auto
44060880-9,77,auto
90007582-0,16,no es necesaria
73557956-8,114,auto
80588097-k,71,auto
21875469-4,74,no es necesaria
63214464-4,74,no es necesaria
78166652-1,84,auto
83635222-k,104,no es necesaria
63421928-5,40,auto
31726652-9,91,moto
26249833-6,41,auto
29522091-0,64,auto
40236352-5,50,no es necesaria
54252672-6,60,no es necesaria
63699218-6,90,auto
53171533-0,0,auto
37780063-k,87,auto
10339840-1,6,no es necesaria
41704207-5,62,no es necesaria
78301240-5,76,moto
88732812-9,69,moto
72018152-5,98,moto
54252672-6,0,auto
58593290-6,24,moto
78479752-k,102,auto
39038168-9,25,auto
54121962-5,96,no es necesaria
56781936-1,108,no es necesaria
23686910-5,47,no es necesaria
59854747-5,11,moto
19386119-9,35,no es necesaria
63459997-5,89,moto
74361473-9,110,auto
61892040-2,114,auto
13690129-k,10,moto
98661210-6,114,auto
78479752-k,70,vehiculo de carga
82833215-5,51,auto
74269105-5,56,auto
36750587-7,25,auto
11123767-0,10,moto
42678415-7,14,auto
78918085-7,78,moto
90730270-9,15,moto
44060880-9,62,no es necesaria
34039148-9,49,vehiculo de carga
53281073-6,93,auto
59982206-2,3,moto
54451953-0,94,no es necesaria
95435510-1,82,no es necesaria
13890944-1,45,no es necesaria
90471139-k,98,moto
95777850-k,24,moto
93066103-1,33,auto
49628420-8,41,auto
21672114-4,23,vehiculo de carga
71389826-0,29,no es necesaria
57041868-8,87,auto
57041868-8,72,moto
75357089-6,26,vehiculo de carga
47591540-2,1,moto
99837067-1,33,auto
44100123-1,93,auto
27183294-k,74,no es necesaria
73178495-7,76,moto
92946711-6,36,auto
81403585-9,77,auto
92386054-1,79,moto
78413522-5,62,no es necesaria
29004298-4,97,moto
21924647-1,21,no es necesaria
92386054-1,26,vehiculo de carga
66199699-4,92,moto
70368495-5,96,no es necesaria
55326528-2,45,no es necesaria
55326528-2,99,auto
54121962-5,26,vehiculo de carga
68155764-4,44,no es necesaria
79344858-9,108,no es necesaria
67902197-4,61,moto
83635222-k,80,moto
80438756-0,87,auto
75981648-k,42,no es necesaria
18076157-8,49,vehiculo de carga
54746197-5,63,moto
12412672-k,61,moto
79687907-6,10,moto
82254885-7,25,auto
99463426-7,9,moto
67902197-4,20,vehiculo de carga
96217495-7,65,vehiculo de carga
80282829-2,31,auto
57078757-8,18,auto
19386119-9,107,vehiculo de carga
92946711-6,64,auto
23625905-6,88,auto
37204390-3,64,auto
66185512-6,55,auto
94123958-7,28,auto
92244003-4,94,no es necesaria
42162871-8,59,auto
14495790-3,2,auto
60456055-1,102,auto
53329659-9,55,auto
88107942-9,96,no es necesaria
56405384-8,105,auto
79861684-6,28,auto
53511335-1,79,moto
35115737-2,20,vehiculo de carga
38717290-4,96,no es necesaria
56781936-1,43,auto
88495383-9,94,no es necesaria
22169359-0,59,auto
79687907-6,6,no es necesaria
93635199-9,93,auto
13904984-5,58,auto
25399600-5,63,moto
79308193-6,73,auto
42494071-2,113,auto
75281837-1,24,moto
90471139-k,57,auto
87772349-6,75,auto
98296705-8,97,moto
82429778-9,7,auto
94559048-3,10,moto
22249624-1,45,no es necesaria
22977216-3,54,vehiculo de carga
55326528-2,78,moto
66398573-6,13,auto
61786224-7,46,auto
77785207-8,56,auto
17070747-8,114,auto
63953205-4,62,no es necesaria
75981648-k,34,no es necesaria
56350683-0,107,vehiculo de carga
39038168-9,78,moto
74500563-2,78,moto
37204390-3,15,moto
53087333-1,108,no es necesaria
54122700-8,108,no es necesaria
77020926-9,90,auto
90594532-7,108,no es necesaria
38100857-6,48,moto
45273848-1,28,auto
69691126-6,90,auto
89077953-0,42,no es necesaria
18076157-8,65,vehiculo de carga
22913410-8,59,auto
99302343-4,18,auto
23047484-2,29,no es necesaria
83028620-9,63,moto
78479752-k,101,auto
34966889-0,6,no es necesaria
45589350-k,36,auto
29522091-0,17,vehiculo de carga
34048567-k,22,no es necesaria
76081261-7,90,auto
48161908-4,45,no es necesaria
20034783-8,116,auto
93129166-1,21,no es necesaria
22545748-4,85,auto
11077126-6,93,auto
99116865-6,27,moto
35480818-8,95,auto
72157153-k,33,auto
22760013-6,2,auto
98357275-8,71,auto
48996426-0,88,auto
58378678-3,38,auto
29004298-4,69,moto
54726514-9,9,moto
29637564-0,88,auto
79344858-9,9,moto
66658505-4,38,auto
18076157-8,86,vehiculo de carga
87634133-6,89,moto
83917354-7,100,auto
77785207-8,14,auto
39043389-1,28,auto
48592540-6,19,auto
91258242-6,60,no es necesaria
68225683-4,50,no es necesaria
21823347-3,4,auto
97632307-6,115,vehiculo de carga
93635199-9,35,no es necesaria
70638696-3,82,no es necesaria
48176712-1,37,moto
14002078-8,35,no es necesaria
34048567-k,111,moto
35115737-2,18,auto
58000701-5,20,vehiculo de carga
26617374-1,57,auto
76160177-6,37,moto
75020925-4,66,auto
44626695-0,111,moto
87634133-6,83,vehiculo de carga
84964932-9,98,moto
54451953-0,35,no es necesaria
31726652-9,39,auto
55012555-2,50,no es necesaria
23047484-2,11,moto
56781936-1,60,no es necesaria
79974368-k,40,auto
20467855-3,60,no es necesaria
14197251-0,34,no es necesaria
73543707-0,20,vehiculo de carga
96863860-2,92,moto
93066103-1,4,auto
76160177-6,21,no es necesaria
87371798-k,14,auto
44626695-0,63,moto
96213582-k,60,no es necesaria
32211035-9,25,auto
12815044-7,71,auto
53331281-0,41,auto
10537138-1,34,no es necesaria
89751595-4,71,auto
85884715-k,103,auto
69777560-9,12,auto
91461351-5,32,auto
50511840-5,83,vehiculo de carga
33199896-6,64,auto
98152080-7,78,moto
21924647-1,76,moto
93176945-6,1,moto
51827744-8,9,moto
75397524-1,68,vehiculo de carga
77191435-7,63,moto
15460166-k,53,no es necesaria
69186141-4,4,auto
60456055-1,76,moto
84593882-2,98,moto
96735305-1,109,auto
10348170-8,67,no es necesaria
92060023-9,87,auto
65485230-8,110,auto
91957637-5,17,vehiculo de carga
88107942-9,21,no es necesaria
91258242-6,47,no es necesaria
49718772-9,45,no es necesaria
81234956-2,99,auto
75903526-7,40,auto
94362008-3,1,moto
69777560-9,31,auto
24945173-8,65,vehiculo de carga
37925650-3,2,auto
15795964-6,19,auto
83386046-1,7,auto
93176945-6,50,no es necesaria
35115737-2,60,no es necesaria
69135613-2,11,moto
51667797-k,88,auto
38629675-8,27,moto
35340502-0,99,auto
99937169-8,37,moto
83123905-0,99,auto
72157153-k,78,moto
45624249-9,22,no es necesaria
37780063-k,103,auto
37117213-0,89,moto
84964932-9,10,moto
58496906-7,6,no es necesaria
34012878-8,44,no es necesaria
31726652-9,86,vehiculo de carga
27003910-3,58,auto
90730270-9,25,auto
12969098-4,110,auto
51093069-k,50,no es necesaria
26635765-6,102,auto
38717290-4,59,auto
83118985-1,24,moto
78166652-1,17,vehiculo de carga
72157153-k,29,no es necesaria
26475026-1,42,no es necesaria
96251410-3,13,auto
35155157-7,3,moto
15373219-1,54,vehiculo de carga
71796805-0,73,auto
43123228-6,105,auto
63214464-4,28,auto
75357089-6,63,moto
33006349-1,64,auto
20820475-0,75,auto
25002692-7,66,auto
59105378-7,102,auto
56744324-8,116,auto
64043694-8,23,vehiculo de carga
80600254-2,35,no es necesaria
20694588-5,51,auto
80228379-2,76,moto
